hotel_name,brand,city,state,country,opening_date,room_count,room_count_confidence,hotel_type,project_type,management_company,developer,owner,investment_amount,amenities,key_insights,contact_name,contact_title,contact_email,contact_phone,contact_company,contact_relevance,lead_priority,lead_priority_reason,months_to_opening,uniform_decision_window,qualification_score,brand_tier,location_type,estimated_revenue,estimated_staff,revenue_breakdown,skip_reason,confidence_score,source_url,source_name,source_urls,source_names,merged_from_count,scraped_at
PUBLIC West Hollywood,Public,West Hollywood,,USA,Spring 2026,137,,boutique,,Highgate,,,,,,,,,,,,,,,,0,,,0,0,{},,0.75,https://www.hoteldive.com/news/ian-schrager-highgate-public-brand-partnership/810689/,Hotel Dive,https://www.hoteldive.com/news/ian-schrager-highgate-public-brand-partnership/810689/,Hotel Dive,1,
Six Senses Camp Korongo,Six Senses,,Utah,USA,Jan 2026,0,,resort,,,,,,,Merged from 2 sources,,,,,,,,,,,0,,,0,0,{},,0.73,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/ | https://www.hoteldive.com/topic/brands/,Hotel Dive,2,
Four Seasons Resort and Private Residences Deer Valley,Four Seasons,Park City,Utah,USA,2026,134,,resort,,,Extell Development Company,,,,,Bart Carnahan,"President of Global Business Development, Portfolio Management and Residential",,,,,,,,,0,,,0,0,{},,0.7,https://www.hoteldive.com/news/four-seasons-luxury-hotel-residences-park-city-utah/735358/,Hotel Dive,https://www.hoteldive.com/news/four-seasons-luxury-hotel-residences-park-city-utah/735358/,Hotel Dive,1,
Waldorf Astoria Deer Valley Resort and Residences,Waldorf Astoria,Deer Valley,Utah,USA,Feb 2026,132,,hotel and branded-residences,,,Extell Development,,,,Merged from 7 sources,Kara Randall,Vice President of North America Luxury and Mixed-Use Development,,,,,,,,,0,,,0,0,{},,0.68,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/ | https://www.hoteldive.com/news/hotel-industry-trends-forecast-2026/811017/ | https://www.hoteldive.com/news/hilton-undergraduate-lifestyle-brand-launch-college-town-markets/810918/ | https://www.hoteldive.com/news/hotel-construction-pipeline-q4-2025/810587/ | https://www.hoteldive.com/news/new-york-city-phoenix-hotel-openings-2026/810079/ | https://www.hoteldive.com/topic/brands/ | https://www.hoteldive.com/news/hilton-waldorf-astoria-resort-development-deer-valley-utah/811075/,Hotel Dive,7,
The Ritz-Carlton Indianapolis,Ritz-Carlton,Indianapolis,,USA,January 2026,176,,luxury hotel,,Sage Hospitality Group,Boxcar Development,,,,Merged from 2 sources,,,,,,,,,,,0,,,0,0,{},,0.68,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/ | https://www.hoteldive.com/news/ritz-carlton-hotel-development-indianapolis/809199/,Hotel Dive,2,
"The Knox Hotel, Auberge Collection",Auberge Resorts Collection,Dallas,,USA,2026,0,,hotel,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.68,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,1,
Ruby hotel Chicago,Ruby Hotels,Chicago,,USA,January 2026,412,,urban lifestyle,,Ruby Group,"Ruby Group, Berk Properties",,,,Merged from 3 sources,,CEO Americas,,,,,,,,,0,,,0,0,{},,0.65,https://www.hoteldive.com/news/ihg-ruby-hotels-chicago-debut/810588/,Hotel Dive,https://www.hoteldive.com/news/ihg-ruby-hotels-chicago-debut/810588/ | https://www.hoteldive.com/topic/development/ | https://www.hoteldive.com/topic/brands/,Hotel Dive,3,
Hilton Apartment Collection,Hilton,,,USA,January 2026,3000,,apartment-style accommodations,,,Placemakr,,,,,,,,,,,,,,,0,,,0,0,{},,0.65,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/,Hotel Dive,1,
SongTeller Hotel,,Nashville,Tennessee,USA,June 2026,245,,hotel,,,Herschend,,,,,Dolly Parton,,,,,,,,,,0,,,0,0,{},,0.65,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,1,
The Cooper,,Charleston,South Carolina,USA,March 2026,191,,hotel,,,Beemok Hospitality Collection,,,,,,,,,,,,,,,0,,,0,0,{},,0.6,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,1,
PUBLIC West Hollywood,Public,Los Angeles,California,USA,spring 2026,137,,hotel,,,,,,,,Ian Schrager,hotelier,,,,,,,,,0,,,0,0,{},,0.6,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,1,
The Vanderpump Hotel,,Las Vegas,Nevada,USA,spring 2026,188,,hotel,,,,,,,,Lisa Vanderpump,TV personality,,,,,,,,,0,,,0,0,{},,0.6,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,1,
The Greenleigh Hotel,Marriott (Autograph Collection),Houston,Texas,USA,summer 2026,299,,hotel,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.6,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,1,
Waldorf Astoria Deer Valley Resort and Residences,Waldorf Astoria,Park City,Utah,USA,2028,132,,resort and branded residences,,Hilton,Extell Development Company,,,,,,,,,,,,,,,0,,,0,0,{},,0.6,https://stories.hilton.com/releases/waldorf-astoria-hotels-resorts-coming-to-deer-valley-east-village-park-city-utah,Hotel Dive,https://stories.hilton.com/releases/waldorf-astoria-hotels-resorts-coming-to-deer-valley-east-village-park-city-utah,Hotel Dive,1,
Waldorf Astoria Texas Hill Country hotel and residences,Waldorf Astoria Hotels & Resorts,Fredericksburg,Texas,USA,2027,60,,hotel and residences,,Hilton,Wine Country Hospitality Partners,,,,,,,,,,,,,,,0,,,0,0,{},,0.6,https://www.hoteldive.com/news/hilton-developing-waldorf-astoria-texas-hill-country/743695/,Hotel Dive,https://www.hoteldive.com/news/hilton-developing-waldorf-astoria-texas-hill-country/743695/,Hotel Dive,1,
The Heid Lofts,"Reside, A Wyndham Residence",Philadelphia,,USA,January 2026,0,,apart-hotel,,,,,,,Merged from 2 sources,,,,,,,,,,,0,,,0,0,{},,0.58,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/ | https://www.hoteldive.com/topic/brands/,Hotel Dive,2,
Outbound Hotels Park City,Outbound Hotels,Park City,Utah,USA,Jan 2026,182,,mountain destination hotel,,CoralTree Hospitality,Waterton and Barings,,,,Merged from 3 sources,Matthew Mering,EVP of hospitality at Waterton and co-founder of Outbound Hotels,,,,,,,,,0,,,0,0,{},,0.58,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/ | https://www.hoteldive.com/topic/brands/ | https://www.hoteldive.com/news/outbound-hotels-park-city-2027-waterton-barings/809588/,Hotel Dive,3,
voco Times Square – Broadway,Ihg Hotels & Resorts,New York City,New York,USA,early 2026,0,,hotel,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.58,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,1,
Under Canvas White Mountains,Under Canvas,Dalton,New Hampshire,USA,June 2026,0,,glamping,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.58,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,1,
White Elephant Aspen,White Elephant Resorts,Aspen,Colorado,USA,February 2026,54,,hotel,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.55,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,https://www.hoteldive.com/news/top-hotel-openings-2026/810298/,Hotel Dive,1,
